materia,texto_pregunta,imagen,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,procedimiento
Matemáticas,"Se tiene un conjunto de 8 numeros. La media de los cuatro numeros menores es 12, y la media de los cuatro numeros mayores es 18. Cual es la media de los ocho datos?",,12,13,14,15,D,
Matemáticas,"Se realizo una encuesta a todos los asistentes del cuadrangular de baloncesto sobre que equipo creian que resultaria ganador del certamen. Los resultados se muestran en el grafico. Si 52 encuestados afirmaron que el ganador seria el equipo verde, cuantos asistentes indicaron que ganaria el equipo cafe?",p16.png,12,24,36,42,C,
Matemáticas,"La antiguedad, en años, de los trabajadores de una empresa se detallan en el histograma de frecuencias. <br><br> Cuantos trabajadores tiene dicha empresa?",p17.png,97,98,99,100,A,
Matemáticas,La media aritmetica de 50 numeros enteros consecutivos es 42.5. Cual es el numero menor?,,15,16,17,18,D,
Matemáticas,En un teatro las entradas para la zona A cuestan $ $510$  y para la zona B  $ $320$ . Un dia asistieron un total de 360 espectadores y se recaudo la cantidad de $ $138000$. Cuantos asistentes de la zona B acudieron ese dia?,,90,120,180,240,D,
Matemáticas,"En una conversacion entre tres amigos, cada uno expresa una opinion diferente sobre cuantos hermanos tiene Jonathan. <br> <br> ""Jonathan tiene al menos 5 hermanos"", afirma Anabel. <br><br> ""No, tiene menos de 5"", corrige Alfredo. <br> <br> ""Tal vez tengas razon, pero lo que yo se es que tiene mas de 2 hermanos"", añade Erick. <br><br> Si se sabe que solo una de las tres personas dice la verdad. cual es la mayor cantidad de hermanos que puede tener Jonathan?",,0,1,2,3,C,
Matemáticas,"Antonio reparte 1260 lapices de manera equitativa entre todos sus estudiante. Sin embargo si tuviera 6 estudiantes mas, cada uno recibira 5 lapices menos. Cuantos alumnos tiene Antonio?",,36,38,40,42,A,
Matemáticas,"En una reunion, si los asistentes se sientan 10 por banca, quedan 4 de pie, si se sientan 12 por banca una de las bancas solo tendra 8 personas. Cuantas bancas hay en total?",,,,,,B,
Matemáticas,"El numero 900 se descompone en 4 sumandos, de tal forma que al realizar las siguientes operaciones con cada uno de ellos, se obiene siempre el mismo resultado:",Añadir 5 al primer sumando. <br><br> Restar 5 al segundo sumando. <br><br> Multiplicar por 5 el tercer sumando. <br><br> Dividir entre 5 el cuarto sumando. <br><br> Cual es la suma del mayor y del menor sumando?,145,250,650,755,C,
Matemáticas,"Un reloj se ajusta a la hora el 1 de enero de 2025 a las 2:00 pm, pero se atrasa 3 minutos cada dos horas. Que hora marcara este reloj el 10 de enero de 2025 a las 2:00 pm?",,8:00 AM,8:36 AM,9:00 AM,9:36 AM,B,
Matemáticas,Que hora marca el reloj?,p18.png,5:06,5:07,5:08,5:09,A,
Matemáticas,"El precio de un zafiro es proporcional al cubo de su peso. Si un zafiro de 8 gramos cuesta $1024, Cuanto cuesta un zafiro que pesa 5 gramos?",,$ $200$,$ $250$,$ $300$,$ $350$,B,
Matemáticas,Relacionar la propiedad de los números reales con la expresión que le corresponde.,"<table style=""width: 100%; border-collapse: collapse; text-align: left;"">
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Propiedad</b></td>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Expresion</b></td>
    </tr>
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">1. Asociativa</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">A $a \cdot (b+c) = a \cdot b + a \cdot c$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">2. Conmutativa</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">B $a \cdot (a^{-1}) = 1$</td>
    </tr>    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">3. Distributiva</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">C $(a \cdot b) \cdot c = a \cdot (b \cdot c)$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">4. Elemento Inverso</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">D $a \cdot b = b \cdot a$</td>
    </tr>
</table>","1C, 2D, 3A, 4B","1C, 2D, 3B, 4A","1D, 2C, 3A, 4B","1D, 2C, 3B, 4A",A,
Matemáticas,Identificar cuáles de los siguientes enunciados son verdaderos:,"1. Si $a > b$ y $b > c$ entonces $c > a$  <br><br> 2. Si $a > b$  entoces $a + c > b + c$. <br><br> 3. Si $a > 0$ y $b > 0$, entonces $ab > 0$. <br><br> 4. Si $a < b$ y $c > 0$ entonces $a \cdot c > b \cdot c$.","1, 2","1, 4","2, 3","3, 4",C,
Matemáticas,Calcular el valor de la suma:," $abc + bca + cab$ <br><br>   Sabiendo que la suma de los dígitos a, b, c satisface la condición $(a+b+c)^{2} = 441$",2221,2231,2321,2331,D,
Matemáticas,Simplificar la expresión:, $w = 5 - 3 \times 2(1 + 8 \div 4 + 3 \times 4)$,$-85$,$-84$,$-60$,$-57$,A,
Matemáticas,"En una floreria se tienen 200 flores, que incluyen rosas y tulipanes. Actualmente, la razón de rosas a tulipanes es de 3 a 2. ¿Cuántos tulipanes se deben agregar para que la razón cambie a 2 rosas por cada 3 tulipanes?",,100,120,180,240,A,
Matemáticas,"Si las magnitudes M y N son inversamente proporcionales, ¿Cuál es el valor de a+b+c?",p19.png,65,149,229,245,B,
Matemáticas,"Dos magnitudes son directamente proporcionales cuando, al _________ una de ellas por un número, la otra queda multiplicada por el mismo número.",,restar,sumar,dividir,multiplicar,D,
Matemáticas,Relacionar los enunciados con la expresión que le corresponde.,"<table style=""width: 100%; border-collapse: collapse; text-align: left;"">
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Enunciado</b></td>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Expresion</b></td>
    </tr>
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">1. El doble del cubo de un numero</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">A $(3n)^{2}$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">2. El cubo del doble de un numero </td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">B $2n^{3}$</td>
    </tr>    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">3. El triple del cuadrado de un numero.</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">C $(2n)^{3}$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">4. El cuadrado del triple de un numero</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">D $3n^{2}$</td>
    </tr>
</table>","1B, 2C, 3A, 4D","1B, 2C, 3D, 4A","1C, 2B, 3A, 4D","1C, 2B, 3D, 4A",B,
Matemáticas,Transformar al lenguaje matemático el enunciado: El producto de tres números pares consecutivos.,,$(x)(x+1)(x+2)$,$(x)(x+2)(x+4)$,$(2x)(2x+1)(2x+2)$,$(2x)(2x+2)(2x+4)$,D,
Matemáticas,"¿Cuántas fracciones propias positivas, que son menores que $\frac{11}{13}$ y cuyos términos son números enteros consecutivos, existen?",,4,5,6,7,B,
Matemáticas,Realizar la siguiente suma de fracciones. ,$R = \frac{2x^{2}}{x + 2} + \frac{2x^{2}}{x - 2} - \frac{8}{x + 2} - \frac{8}{x - 2}$,$4x$,$-4x$,$x+4$,$x-4$,A,
Matemáticas,Efectuar la siguiente operación:,$D = \frac{1}{1 + \frac{1}{1 + \frac{1}{x+1}}}$,$\frac{2x + 3}{x + 2}$,$\frac{x + 2}{2x + 3}$,$\frac{2x + 1}{x + 3}$,$\frac{x + 3}{2x + 1}$,B,
Matemáticas,Realizar la división de fracciones.,$N = \frac{\sqrt{x} + 2}{x + 4} \div \frac{x - 4}{\sqrt{x} - 2}$,$\frac{1}{x - 4}$,$\frac{1}{x + 4}$,$x - 4$,$x + 4$,B,
Matemáticas,Reducir la expresión. Sabiendo que se cumple la condición: $\beta k - \beta + 1 = 0$,$S = \sqrt[k]{\frac{b}{\sqrt[\beta]{b}}}$,$b^{0}$,$b^{1}$,$b^{2}$,$b^{3}$,B,
Matemáticas,Calcular el área de la cancha de baloncesto si presenta las siguientes dimensiones:,p20.png,$650 \text{ m}^{2}$,$660 \text{ m}^{2}$,$670 \text{ m}^{2}$,$680 \text{ m}^{2}$,B,
Matemáticas,Relacionar cada una de las leyes de exponentes con su expresión correspondiente.,"<table style=""width: 100%; border-collapse: collapse; text-align: left;"">
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Leyes de exponentes</b></td>
        <td style=""padding: 8px; border: 1px solid #ccc;""><b> Expresion</b></td>
    </tr>
    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">1. $a^{m} \cdot a^{n}$</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">A $\sqrt[n]{a^{m}}$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">2. $\frac{a^{m}}{a^{n}}$ </td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">B $a^{m+n}$</td>
    </tr>    <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">3. $(a^{m})^{n}$</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">C $a^{mn}$</td>
    </tr> <tr>
        <td style=""padding: 8px; border: 1px solid #ccc;"">4. $a^{\frac{m}{n}}$</td>
        <td style=""padding: 8px; border: 1px solid #ccc;"">D $a^{m-n}$</td>
    </tr>
</table>","1A, 2C, 3D, 4B","1B, 2C, 3D, 4A","1A, 2D, 3C, 4B","1B, 2D, 3C, 4A",D,
Matemáticas,Calcular el valor de la siguiente expresión:,$M = \frac{3^{n+1} + 3^{n+2}}{3^{n+3}}$,$\frac{4}{9}$,$\frac{3}{4}$,$\frac{4}{3}$,$\frac{9}{4}$,A,
Matemáticas,Completar los signos matemáticos de tal manera que se cumpla la identidad:, $(x+y)(x \ \_\_\_ \ y) = x^{2} \ \_\_\_ \ y^{2}$,"$-,-$","$-,+$","$+,-$","$+,+$",A,
Matemáticas,Simplificar la expresión algebraica: ,$R = \frac{(\sqrt{x + 1} + \sqrt{x - 1})^{2}}{x + \sqrt{x^{2} - 1}}$,1,2,3,4,B,
Matemáticas,Simplificar la expresión: ,$L = \frac{(2xy-1)^{2} + (2xy+1)^{2} - 2}{(xy-2)^{2} + (xy+2)^{2}}$,$\frac{4x^{2}y^{2}}{x^{2}y^{2} + 4}$,$\frac{2x^{2}y^{2}}{x^{2}y^{2} + 4}$,$\frac{4x^{2}y^{2}}{x^{2}y^{2} + 2}$,$\frac{2x^{2}y^{2}}{x^{2}y^{2} + 2}$,A,
Matemáticas,Identificar cuáles de las siguientes expresiones son verdaderas:,Enunciado <br><br> 1. $(a^{2} + b^{2})^{2} = a^{4} + a^{2}b^{2} + b^{4}$ <br><br> 2. $(x^{4} + 2a) (x^{4} -3a) = x^{8} - ax^{4} - 6a^{2}$ <br><br> 3. $(a + 2)^{3} - (a - 2)^{3} = a^{3} - 8$ <br><br> 4. $(a + b + 1)(a + b - 1) = a^{2} + 2ab + b^{2} - 1$,"1,3","1,4","2,3","2,4",D,
Matemáticas,Simplificar la expresión: ,$\frac{2wy - xy + 4w - 2x}{2wz - xz - 4w + 2x}$,$\frac{1}{z + 2}$,$\frac{1}{z - 2}$,$\frac{y + 2}{z + 2}$,$\frac{y + 2}{z - 1}$,D,
Matemáticas,Encontrar el paso incorrecto realizado en el proceso de factorización del polinomio: ,$a^{2}x^{2} + b^{2}x^{2} - a^{2} - b^{2}$ <br><br> 1. Reordenando terminos: $a^{2}x^{2} - a^{2} + b^{2}x^{2} - b^{2}$ <br><br> 2. Agrupando terminos comunes: $a^{2}(x^{2} - 1) + b^{2}(x^{2} - 1)$ <br><br> 3. Factorizando: $(x^{2} - 1) (a^{2} - b^{2})$ <br><br> 4. Factorizando las diferencias de cuadrados: $(x + 1) (x - 1) (a + b) (a - b)$,1,2,3,4,C,
Matemáticas,Identificar un factor del polinomio: ,$P = a^{2} - b^{2} - a + b$,$a + b$,$a - b$,$a + b + 1$,$a - b + 1$,B,
Matemáticas,Determinar el valor de $\sqrt{x^{3} + y^{3} + 7}$ si $x + y = 3$ y $xy = 2$,,1,2,3,4,D,
Matemáticas,Identificar que curva corresponde a una función $y = f(x)$ en la figura.,p21.png,a,b,c,d,A,
Matemáticas,Si $f$ es una función de $G$ en $H$: Calcular $f(3) - f(1)$,p22.png,12,2,-2,-12,A,
Matemáticas,Completar los espacios en la ecuación de tal manera que x=10 sea una solución. ,$2x - 6 + \_\_\_\_\_\_\_\_ = 24$,"$3x - 1, 2x -1$","$3x + 1, 2x - 1$","$3x - 1, -2x + 1$","$3x + 1, -2x +1$",C,
Matemáticas,Identificar el paso donde existe un error en la solución de la ecuación:,$2x^{2} + 7x - 21 = x^{2} + 10x - 3$ <br><br> 1. $2x^{2} + 7x + 3 = x^{2} + 10x + 21$ <br><br> 2. $(2x + 1)(x +3) = (x + 7)(x +3)$ <br><br> 3. $x = 6$,1,2,3,4,C,
Matemáticas,"En un concurso de tiros libres, un participante gana tres puntos por cada canasta acertada y pierde medio punto por cada falla. Si al hacer $80$ lanzamientos obtuvo $79$ puntos. ¿Cuál es el número de canastas acertadas?",,31,32,33,34,D,
Matemáticas,Determinar el valor de z en la ecuación: ,$\frac{z-a}{bc} - \frac{z-b}{ac} = \frac{z-c}{ab}$,$\frac{a^{2} + b^{2} - c^{2}}{a + b - c}$,$\frac{a^{2} - b^{2} - c^{2}}{a - b - c}$,$\frac{a^{2} - b^{2} + c^{2}}{a - b + c}$,$\frac{a^{2} + b^{2} + c^{2}}{a + b + c}$,B,
Matemáticas,"El costo total de un monitor, un teclado y una impresora es de \$5250. Si el monitor cuesta el cuadruple del precio del teclado, y la impresora tiene un costo \$1200 más que el monitor. ¿Cuál es el precio de la Impresora?",,\$2950,\$3000,\$3050,\$3100,B,
Matemáticas,"La suma de dos números es $30$. Si al número mayor se le agregan $6$ unidades, se tiene el triple del número menor. Hallar el producto de dichos números.",,64,154,180,189,D,
Matemáticas,Resolver el sistema de ecuaciones: ,$4x - 2y = 38$ <br><br> $3y - x = -22$,"$x = 7, y = 5$","$x = 7, y = -5$","$x = -5, y = 7$","$x = -5, y = -7$",B,
Matemáticas,Identificar el sistema de ecuaciones que corresponde a la situación planteada. ,"Angelica y Paulina pueden armar un rompecabezas en 4 dias, Angélica y Rubi lo pueden hacer en 6 dias, y Paulina con Rubi lo pueden hacer en 5 días. ¿En cuánto tiempo puede Rubi armar un rompecabezas?",$\frac{1}{A} + \frac{1}{P} = 16$ <br><br> $\frac{1}{A} + \frac{1}{R} = 36$ <br><br> $\frac{1}{P} + \frac{1}{R} = 25$,$\frac{1}{A} + \frac{1}{P} = \frac{1}{16}$ <br><br> $\frac{1}{A} + \frac{1}{R} = \frac {1}{36}$ <br><br> $\frac{1}{P} + \frac{1}{R} = \frac{1}{25}$,$\frac{1}{A} + \frac{1}{P} = 4$ <br><br> $\frac{1}{A} + \frac{1}{R} = 5$ <br><br> $\frac{1}{P} + \frac{1}{R} = 6$,$\frac{1}{A} + \frac{1}{P} = \frac{1}{4}$ <br><br> $\frac{1}{A} + \frac{1}{R} = \frac {1}{6}$ <br><br> $\frac{1}{P} + \frac{1}{R} = \frac{1}{5}$,D,
Matemáticas,Determinar el vértice de la función cuadrática: ,$y =\frac{1}{8} x^{2} + \frac{1}{4} x + \frac{17}{8}$,"(1,2)","(-1,2)","(1,-2)","(-1,-2)",B,
Matemáticas,Determinar el área máxima de un rectángulo que se puede inscribir dentro de la región limitada por la ecuación $y = -\frac{1}{2} x + 6$  y los ejes coordenados.,,6,12,18,24,C,
Matemáticas,"Calcular la suma de tres números enteros positivos consecutivos, donde el cuadrado del menor de ellos es igual al mayor.",,9,18,33,36,A,
Matemáticas,La ecuación de segundo grado $ax^{2}+bx+c=0$ tiene ___________ si $b^{2}-4ac > 0$.,,una solucion real unica,una solucion real repetida,mas de dos soluciones reales,dos soluciones reales diferentes,D,
Matemáticas,Calcular el producto de las raices de la ecuación: ,$\frac{x}{x-2} + \frac{x+2}{x} = 1$,4,2,-2,-4,D,
